IND,TOK,DATE,SHOT,TIME,TAUTH,IP,BT,NEL,PLTH,RGEO,DELTA1,KAPPAA,EPS,MEFF
105,ASDEX,19820706,6292,1.259,0.0413074671090533,0.3712,2.2,3.927,1.89201,1.654,1,0.997288052931961,0.242321644498186,1.5
110,ASDEX,19820706,6293,1.192,0.0387195059793868,0.3721,2.199,3.654,1.2589,1.658,1,1.01447989841506,0.237575392038601,1.5
111,ASDEX,19820706,6293,1.221,0.048030562231382,0.3704,2.201,3.999,1.31432,1.658,1,1.00393454245184,0.240048250904704,1.5
112,ASDEX,19820706,6293,1.25,0.0376724141503549,0.3698,2.2,4.034,1.92704,1.656,1,0.997587639232791,0.241968599033816,1.5
118,ASDEX,19820706,6294,1.225,0.0486478580110768,0.3704,2.201,3.848,1.37494,1.66,1,1.00039859302362,0.24066265060241,1.5
119,ASDEX,19820706,6294,1.25,0.0385058341591154,0.3699,2.2,3.919,1.88379,1.655,1,0.996891753288435,0.242175226586103,1.5
124,ASDEX,19820706,6295,1.178,0.0308725358821528,0.3712,2.2,3.33,1.35203333333333,1.657,1,1.01957361264145,0.236572118286059,1.5
126,ASDEX,19820706,6295,1.24,0.0373820885011461,0.3704,2.2,3.993,1.9196,1.659,1,0.997288052931961,0.241591320072333,1.5
131,ASDEX,19820708,6322,1.18,0.040435101069262,0.3725,2.2,4.273,1.30663333333333,1.676,1,1.01592671184133,0.234785202863962,1.5
132,ASDEX,19820708,6322,1.232,0.0473923830812995,0.3705,2.2,4.518,1.46532333333333,1.675,1,1.00423362970642,0.237671641791045,1.5
133,ASDEX,19820708,6322,1.283,0.0415524135560375,0.3691,2.2,4.686,1.971,1.673,1,0.995985671064557,0.239988045427376,1.5
138,ASDEX,19820708,6327,1.186,0.0526774924393647,0.3717,2.198,4.536,1.07157,1.676,1,1.01179333048709,0.235739856801909,1.5
139,ASDEX,19820708,6327,1.225,0.0556938148484434,0.3716,2.199,4.891,1.39057,1.679,1,0.999490705373059,0.238237045860631,1.5
140,ASDEX,19820708,6327,1.264,0.0424954163357919,0.3693,2.198,4.924,1.92661,1.673,1,0.994792369982951,0.240227136879857,1.5
145,ASDEX,19820708,6336,1.179,0.0279291801074198,0.2969,2.198,5.658,1.62726,1.674,1,1.00371923949777,0.238112305854241,1.5
146,ASDEX,19820708,6336,1.242,0.0303832009223613,0.2948,2.198,5.668,1.80271,1.674,1,0.994686306365393,0.24026284348865,1.5
147,ASDEX,19820708,6336,1.304,0.0290180378584333,0.2946,2.198,5.658,1.94841,1.671,1,0.992404445154439,0.241232794733692,1.5
153,ASDEX,19820713,6374,0.91,0.0149986774463239,0.1969,2.2,2.067,1.656976,1.69,1,0.936519684369702,0.252958579881657,1.5
154,ASDEX,19820713,6374,0.92,0.0148340289627117,0.1964,2.201,2.071,1.6654,1.676,1,0.937756765535535,0.254713603818616,1.5
159,ASDEX,19820713,6406,0.89,0.0264164792354325,0.1971,2.2,3.144,1.20416666666667,1.666,1,0.938296492388934,0.255882352941177,1.5
160,ASDEX,19820713,6406,0.9,0.0219356250657761,0.197,2.2,3.138,1.47698,1.658,1,0.932754054304036,0.258624849215923,1.5
161,ASDEX,19820713,6406,0.91,0.0188303798659603,0.1963,2.2,3.062,1.69502,1.652,1,0.931003378455001,0.260169491525424,1.5
166,ASDEX,19820713,6412,0.888,0.0697027428597361,0.198,1.574,3.193,0.416833333333333,1.666,1,0.957793219232762,0.251080432172869,1.5
167,ASDEX,19820713,6412,0.899,0.0540892253155802,0.1975,1.573,3.194,0.587753333333333,1.66,1,0.950286665056269,0.254036144578313,1.5
168,ASDEX,19820713,6412,0.91,0.0334553927012969,0.1974,1.574,3.298,1.02858,1.656,1,0.944962558958015,0.256038647342995,1.5
175,ASDEX,19820713,6415,1.228,0.0336329941588444,0.2944,2.201,3.96,1.924097,1.68,1,0.969769124983915,0.245416666666667,1.5
