model_name,scope,n_train_machines,size_ratio,n_held_out_rows,rmsle,r2_log,mae_s,is_blind
ipb98y2_analytic,__pooled__,3,5.022898507903679,6160,0.1996221100506206,0.945227734638304,0.027155981731802857,False
mean_baseline,__pooled__,3,5.022898507903679,6160,1.66815663576347,-2.8248734850410813,0.1479383327448733,True
ridge_loglinear,__pooled__,3,5.022898507903679,6160,0.34526079416494704,0.8361532051636335,0.04917453034046254,True
random_forest,__pooled__,3,5.022898507903679,6160,1.7132484734000861,-3.0344480430526257,0.15012540278039171,True
hist_gradient_boosting,__pooled__,3,5.022898507903679,6160,1.5696282770302965,-2.3863905830686805,0.14100439776409796,True
gp_rbf,__pooled__,3,5.022898507903679,6160,2.4539968850991682,-7.277352187593639,2.4395661748825526,True
gp_linear,__pooled__,3,5.022898507903679,6160,3.2081705546949144,-13.146803354761833,303.9110444725136,True
gp_linear_rbf,__pooled__,3,5.022898507903679,6160,3.165549293989975,-12.773413355293691,250.3506016378551,True
ipb98y2_analytic,__pooled__,4,3.924837061543754,6121,0.1999607195714666,0.9446273552525486,0.027303850262391842,False
mean_baseline,__pooled__,4,3.924837061543754,6121,1.613371995645351,-2.604748036354585,0.14689659039731376,True
ridge_loglinear,__pooled__,4,3.924837061543754,6121,0.40085229219822743,0.7774771426295325,0.03773299002166343,True
random_forest,__pooled__,4,3.924837061543754,6121,1.1491864090586152,-0.8288868931205697,0.1271756400475472,True
hist_gradient_boosting,__pooled__,4,3.924837061543754,6121,1.1852544420285702,-0.9454902941009171,0.12827191762481063,True
gp_rbf,__pooled__,4,3.924837061543754,6121,0.660357497829666,0.3961012762556625,0.08185776367839143,True
gp_linear,__pooled__,4,3.924837061543754,6121,0.24890888302272313,0.9142001206624261,0.03411108068669163,True
gp_linear_rbf,__pooled__,4,3.924837061543754,6121,0.46573359084987864,0.6996130854561033,0.08946642172219031,True
ipb98y2_analytic,__pooled__,5,3.924837061543754,6114,0.20005077117901804,0.9442994876124348,0.02733360298491813,False
mean_baseline,__pooled__,5,3.924837061543754,6114,1.6448787695367169,-2.7657069585492438,0.14805482733681313,True
ridge_loglinear,__pooled__,5,3.924837061543754,6114,0.35383634628797933,0.825745655702863,0.035941572112258166,True
random_forest,__pooled__,5,3.924837061543754,6114,1.1723220346912544,-0.9128133157988567,0.12880979400799117,True
hist_gradient_boosting,__pooled__,5,3.924837061543754,6114,1.16572716802224,-0.8913528869406062,0.12792076060472346,True
gp_rbf,__pooled__,5,3.924837061543754,6114,0.5945384656231361,0.508029970726275,0.07691306584707026,True
gp_linear,__pooled__,5,3.924837061543754,6114,0.35796427310529766,0.8216561663551126,0.055674654375556916,True
