group,estimator,score,n_train_rows,n_held_out_rows,mahalanobis,n_features_outside_train_range,fraction_above_train_max,fraction_below_train_min,log_target_headroom,prediction_bounded_by_train_range,n_features
Fagus grandifolia,powerlaw_loglinear,0.7192738673781974,3383,216,0.35282740646311916,0,0.0,0.0,-9.095173905054882,True,1
Fagus grandifolia,random_forest,0.6660685011307045,3383,216,0.35282740646311916,0,0.0,0.0,-9.095173905054882,True,1
Fagus grandifolia,hist_gradient_boosting,0.6827624501105469,3383,216,0.35282740646311916,0,0.0,0.0,-9.095173905054882,True,1
Eucalyptus saligna,powerlaw_loglinear,0.7054222778604973,3383,216,0.4896303732850048,0,0.0,0.0,-6.831827021211907,True,1
Eucalyptus saligna,random_forest,0.7650420778895047,3383,216,0.4896303732850048,0,0.0,0.0,-6.831827021211907,True,1
Eucalyptus saligna,hist_gradient_boosting,0.7179610326610746,3383,216,0.4896303732850048,0,0.0,0.0,-6.831827021211907,True,1
Eucalyptus sideroxylon,powerlaw_loglinear,0.8742151515302378,3492,107,0.4226958679178489,0,0.0,0.0,-7.645848832386245,True,1
Eucalyptus sideroxylon,random_forest,0.9401102763205145,3492,107,0.4226958679178489,0,0.0,0.0,-7.645848832386245,True,1
Eucalyptus sideroxylon,hist_gradient_boosting,0.9418482048720888,3492,107,0.4226958679178489,0,0.0,0.0,-7.645848832386245,True,1
Aspidosperma ramiflorum,powerlaw_loglinear,0.38347871863518024,3530,69,0.812657738371312,0,0.0,0.0,-10.123506955669036,True,1
Aspidosperma ramiflorum,random_forest,0.42844991149811795,3530,69,0.812657738371312,0,0.0,0.0,-10.123506955669036,True,1
Aspidosperma ramiflorum,hist_gradient_boosting,0.41457236139283926,3530,69,0.812657738371312,0,0.0,0.0,-10.123506955669036,True,1
Aspidosperma tambopatense,powerlaw_loglinear,0.7024867827104768,3481,118,0.02685697975072828,0,0.0,0.0,-9.245144744057024,True,1
Aspidosperma tambopatense,random_forest,0.6859168749276894,3481,118,0.02685697975072828,0,0.0,0.0,-9.245144744057024,True,1
Aspidosperma tambopatense,hist_gradient_boosting,0.7106368423569911,3481,118,0.02685697975072828,0,0.0,0.0,-9.245144744057024,True,1
Pouteria sp.,powerlaw_loglinear,0.3857898435427247,3485,114,0.29561111184248834,0,0.0,0.0,-9.341951505976827,True,1
Pouteria sp.,random_forest,0.44766345492014387,3485,114,0.29561111184248834,0,0.0,0.0,-9.341951505976827,True,1
Pouteria sp.,hist_gradient_boosting,0.4443644988233631,3485,114,0.29561111184248834,0,0.0,0.0,-9.341951505976827,True,1
Euterpe precatoria,powerlaw_loglinear,0.7231373486949875,3560,39,0.41227407862501725,0,0.0,0.0,-10.96905900555696,True,1
Euterpe precatoria,random_forest,0.7484311678224044,3560,39,0.41227407862501725,0,0.0,0.0,-10.96905900555696,True,1
Euterpe precatoria,hist_gradient_boosting,0.7336496241410032,3560,39,0.41227407862501725,0,0.0,0.0,-10.96905900555696,True,1
Cedrelinga catanaeformis,powerlaw_loglinear,0.4400858781037862,3542,57,0.14758819500695688,0,0.0,0.0,-8.983199386249293,True,1
Cedrelinga catanaeformis,random_forest,0.4157994668364616,3542,57,0.14758819500695688,0,0.0,0.0,-8.983199386249293,True,1
Cedrelinga catanaeformis,hist_gradient_boosting,0.44239754168591855,3542,57,0.14758819500695688,0,0.0,0.0,-8.983199386249293,True,1
Tachigali vasquezii,powerlaw_loglinear,0.6243229382431872,3530,69,0.002471748337779425,0,0.0,0.0,-8.329100866605359,True,1
Tachigali vasquezii,random_forest,0.7379517951486692,3530,69,0.002471748337779425,0,0.0,0.0,-8.329100866605359,True,1
Tachigali vasquezii,hist_gradient_boosting,0.6781943210650663,3530,69,0.002471748337779425,0,0.0,0.0,-8.329100866605359,True,1
Berholletia excelsa,powerlaw_loglinear,0.335181054951001,3544,55,0.7965440230974761,0,0.0,0.0,-7.585655687695272,True,1
Berholletia excelsa,random_forest,0.5589637099633756,3544,55,0.7965440230974761,0,0.0,0.0,-7.585655687695272,True,1
Berholletia excelsa,hist_gradient_boosting,0.42208624365084857,3544,55,0.7965440230974761,0,0.0,0.0,-7.585655687695272,True,1
Cecropia ficifolia,powerlaw_loglinear,0.6127045367326185,3544,55,0.3799357576455341,0,0.0,0.0,-8.92440357996254,True,1
Cecropia ficifolia,random_forest,0.5068295264418682,3544,55,0.3799357576455341,0,0.0,0.0,-8.92440357996254,True,1
Cecropia ficifolia,hist_gradient_boosting,0.6002788425722255,3544,55,0.3799357576455341,0,0.0,0.0,-8.92440357996254,True,1
Bellucia pentamera,powerlaw_loglinear,0.6262683494108882,3539,60,0.4217313322370147,0,0.0,0.0,-9.23187563756538,True,1
Bellucia pentamera,random_forest,0.7081928415983402,3539,60,0.4217313322370147,0,0.0,0.0,-9.23187563756538,True,1
Bellucia pentamera,hist_gradient_boosting,0.6960344790788092,3539,60,0.4217313322370147,0,0.0,0.0,-9.23187563756538,True,1
Theobroma speciosum,powerlaw_loglinear,0.32318197146305494,3527,72,0.5523810330480415,0,0.0,0.0,-10.892309023940399,True,1
Theobroma speciosum,random_forest,0.3405707339972735,3527,72,0.5523810330480415,0,0.0,0.0,-10.892309023940399,True,1
Theobroma speciosum,hist_gradient_boosting,0.33125295316569947,3527,72,0.5523810330480415,0,0.0,0.0,-10.892309023940399,True,1
Schizolobium amazonicum,powerlaw_loglinear,0.2612873365036104,3539,60,0.5594155294382562,0,0.0,0.0,-8.381542873483024,True,1
Schizolobium amazonicum,random_forest,0.3908243825299146,3539,60,0.5594155294382562,0,0.0,0.0,-8.381542873483024,True,1
Schizolobium amazonicum,hist_gradient_boosting,0.30960825083982657,3539,60,0.5594155294382562,0,0.0,0.0,-8.381542873483024,True,1
Swietenia macrophylla,powerlaw_loglinear,0.21483161873340642,3540,59,0.395895773507516,0,0.0,0.0,-9.004657013587757,True,1
Swietenia macrophylla,random_forest,0.2942323133936565,3540,59,0.395895773507516,0,0.0,0.0,-9.004657013587757,True,1
Swietenia macrophylla,hist_gradient_boosting,0.2541390310143115,3540,59,0.395895773507516,0,0.0,0.0,-9.004657013587757,True,1
Amburana cearensis,powerlaw_loglinear,0.2960843837576436,3541,58,0.16585451993845282,0,0.0,0.0,-8.668714923992805,True,1
Amburana cearensis,random_forest,0.40562466679081266,3541,58,0.16585451993845282,0,0.0,0.0,-8.668714923992805,True,1
Amburana cearensis,hist_gradient_boosting,0.32601495377832296,3541,58,0.16585451993845282,0,0.0,0.0,-8.668714923992805,True,1
Cariniana micrantha,powerlaw_loglinear,0.4529360875682767,3529,70,0.2467161760356943,0,0.0,0.0,-9.224239561210176,True,1
Cariniana micrantha,random_forest,0.5139589181048828,3529,70,0.2467161760356943,0,0.0,0.0,-9.224239561210176,True,1
Cariniana micrantha,hist_gradient_boosting,0.48371875172164125,3529,70,0.2467161760356943,0,0.0,0.0,-9.224239561210176,True,1
Pinus sylvestris,powerlaw_loglinear,0.49527161848695656,3548,51,0.7125590165944371,0,0.0,0.0,-4.536166484575648,True,1
Pinus sylvestris,random_forest,0.5596212867908302,3548,51,0.7125590165944371,0,0.0,0.0,-4.536166484575648,True,1
Pinus sylvestris,hist_gradient_boosting,0.5311928317367564,3548,51,0.7125590165944371,0,0.0,0.0,-4.536166484575648,True,1
Betula pendula,powerlaw_loglinear,0.3845124422470131,3429,170,1.0652840836275277,0,0.0,0.0,-10.689437414707282,True,1
Betula pendula,random_forest,0.5623835592782915,3429,170,1.0652840836275277,0,0.0,0.0,-10.689437414707282,True,1
Betula pendula,hist_gradient_boosting,0.4383133190035564,3429,170,1.0652840836275277,0,0.0,0.0,-10.689437414707282,True,1
Betula pubescens,powerlaw_loglinear,0.6014632307476039,3443,156,1.391967194758411,0,0.0,0.0,-11.391144994901165,True,1
Betula pubescens,random_forest,0.8232228960988195,3443,156,1.391967194758411,0,0.0,0.0,-11.391144994901165,True,1
Betula pubescens,hist_gradient_boosting,0.8303896002158769,3443,156,1.391967194758411,0,0.0,0.0,-11.391144994901165,True,1
Pinus taeda,powerlaw_loglinear,0.503952125883533,3535,64,3.84010049886619,0,0.0,0.0,-2.12453423734365,True,2
Pinus taeda,random_forest,0.6419448809076105,3535,64,3.84010049886619,0,0.0,0.0,-2.12453423734365,True,2
Pinus taeda,hist_gradient_boosting,0.7325563122610543,3535,64,3.84010049886619,0,0.0,0.0,-2.12453423734365,True,2
Acer saccharum,powerlaw_loglinear,0.5777633443361399,3315,284,0.31030301662766174,0,0.0,0.0,-5.081170288042745,True,2
Acer saccharum,random_forest,0.6051179928464636,3315,284,0.31030301662766174,0,0.0,0.0,-5.081170288042745,True,2
Acer saccharum,hist_gradient_boosting,0.563434541416306,3315,284,0.31030301662766174,0,0.0,0.0,-5.081170288042745,True,2
Betula alleghaniensis,powerlaw_loglinear,0.598004505781403,3290,309,1.5979459810842038,0,0.0,0.012944983818770227,-4.539201682042382,True,2
Betula alleghaniensis,random_forest,0.6026686738217308,3290,309,1.5979459810842038,0,0.0,0.012944983818770227,-4.539201682042382,True,2
Betula alleghaniensis,hist_gradient_boosting,0.5942681460809012,3290,309,1.5979459810842038,0,0.0,0.012944983818770227,-4.539201682042382,True,2
Goupia glabra Aubl. ,powerlaw_loglinear,0.3254952095931899,3511,88,1.1685573904063662,0,0.0,0.0,-10.12473083902838,True,2
Goupia glabra Aubl. ,random_forest,0.38688191998702337,3511,88,1.1685573904063662,0,0.0,0.0,-10.12473083902838,True,2
Goupia glabra Aubl. ,hist_gradient_boosting,0.32048702142170304,3511,88,1.1685573904063662,0,0.0,0.0,-10.12473083902838,True,2
Jacaranda copaia (Aubl.) D. Don ,powerlaw_loglinear,0.36367743112928924,3498,101,0.7152587262442377,0,0.0,0.0,-9.62198535759035,True,2
Jacaranda copaia (Aubl.) D. Don ,random_forest,0.47719628930514324,3498,101,0.7152587262442377,0,0.0,0.0,-9.62198535759035,True,2
Jacaranda copaia (Aubl.) D. Don ,hist_gradient_boosting,0.392937961528124,3498,101,0.7152587262442377,0,0.0,0.0,-9.62198535759035,True,2
Qualea rosea Aubl.,powerlaw_loglinear,0.4945869106187928,3544,55,1.2269528530154052,0,0.0,0.0,-11.030319767803759,True,2
Qualea rosea Aubl.,random_forest,0.5558115014485098,3544,55,1.2269528530154052,0,0.0,0.0,-11.030319767803759,True,2
Qualea rosea Aubl.,hist_gradient_boosting,0.5220843340542918,3544,55,1.2269528530154052,0,0.0,0.0,-11.030319767803759,True,2
Recordoxylon speciosum (Benoist) ,powerlaw_loglinear,0.30703880132538286,3488,111,0.8360247692544035,0,0.0,0.0,-10.758447870389558,True,2
Recordoxylon speciosum (Benoist) ,random_forest,0.4241319707872942,3488,111,0.8360247692544035,0,0.0,0.0,-10.758447870389558,True,2
Recordoxylon speciosum (Benoist) ,hist_gradient_boosting,0.36208149392680633,3488,111,0.8360247692544035,0,0.0,0.0,-10.758447870389558,True,2
Dicorynia guianensis Amshoff ,powerlaw_loglinear,0.4731112751971488,3488,111,0.3621215329636973,0,0.0,0.0,-9.863551536457596,True,2
Dicorynia guianensis Amshoff ,random_forest,0.5526174755942226,3488,111,0.3621215329636973,0,0.0,0.0,-9.863551536457596,True,2
Dicorynia guianensis Amshoff ,hist_gradient_boosting,0.48681554248797004,3488,111,0.3621215329636973,0,0.0,0.0,-9.863551536457596,True,2
Sextonia rubra (Mez) van der Werff,powerlaw_loglinear,0.37948903869821193,3520,79,0.45868724209431133,0,0.0,0.0,-10.222616059888432,True,2
Sextonia rubra (Mez) van der Werff,random_forest,0.4380008532480388,3520,79,0.45868724209431133,0,0.0,0.0,-10.222616059888432,True,2
Sextonia rubra (Mez) van der Werff,hist_gradient_boosting,0.40331927063177586,3520,79,0.45868724209431133,0,0.0,0.0,-10.222616059888432,True,2
Virola michelii Heckel,powerlaw_loglinear,0.6326998336754971,3482,117,0.6592050414975171,0,0.0,0.0,-9.695068214328828,True,2
Virola michelii Heckel,random_forest,0.7052516585792835,3482,117,0.6592050414975171,0,0.0,0.0,-9.695068214328828,True,2
Virola michelii Heckel,hist_gradient_boosting,0.608199787519867,3482,117,0.6592050414975171,0,0.0,0.0,-9.695068214328828,True,2
Eperua falcata Aubl.,powerlaw_loglinear,0.3182084345147371,3484,115,0.1850995346707747,0,0.0,0.0,-8.942529358582679,True,2
Eperua falcata Aubl.,random_forest,0.4934943403862803,3484,115,0.1850995346707747,0,0.0,0.0,-8.942529358582679,True,2
Eperua falcata Aubl.,hist_gradient_boosting,0.4068508546644692,3484,115,0.1850995346707747,0,0.0,0.0,-8.942529358582679,True,2
Eperua grandiflora (Aubl.) Benth. ,powerlaw_loglinear,0.29194969919468416,3510,89,0.6995235461950722,0,0.0,0.0,-8.210147023587188,True,2
Eperua grandiflora (Aubl.) Benth. ,random_forest,0.4116891614807436,3510,89,0.6995235461950722,0,0.0,0.0,-8.210147023587188,True,2
Eperua grandiflora (Aubl.) Benth. ,hist_gradient_boosting,0.37593459155384285,3510,89,0.6995235461950722,0,0.0,0.0,-8.210147023587188,True,2
Cedrela odorata,powerlaw_loglinear,0.519452389830312,3532,67,1.1008753783759515,0,0.0,0.0,-2.163579528658009,True,2
Cedrela odorata,random_forest,0.4707938241610486,3532,67,1.1008753783759515,0,0.0,0.0,-2.163579528658009,True,2
Cedrela odorata,hist_gradient_boosting,0.42713959619076247,3532,67,1.1008753783759515,0,0.0,0.0,-2.163579528658009,True,2
Fagus grandifolia,powerlaw_loglinear,0.6407818943001198,3383,216,0.4284417030179421,0,0.0,0.0,-9.095173905054882,True,2
Fagus grandifolia,random_forest,0.6516449235443518,3383,216,0.4284417030179421,0,0.0,0.0,-9.095173905054882,True,2
Fagus grandifolia,hist_gradient_boosting,0.6260053114960925,3383,216,0.4284417030179421,0,0.0,0.0,-9.095173905054882,True,2
Eucalyptus saligna,powerlaw_loglinear,0.49133266526662417,3383,216,0.9677470984241238,0,0.0,0.0,-6.831827021211907,True,2
Eucalyptus saligna,random_forest,0.5583684663050562,3383,216,0.9677470984241238,0,0.0,0.0,-6.831827021211907,True,2
Eucalyptus saligna,hist_gradient_boosting,0.5416322065310094,3383,216,0.9677470984241238,0,0.0,0.0,-6.831827021211907,True,2
Eucalyptus sideroxylon,powerlaw_loglinear,0.4617791615134657,3492,107,1.5799023584640748,0,0.0,0.0,-7.645848832386245,True,2
Eucalyptus sideroxylon,random_forest,0.6540552722968388,3492,107,1.5799023584640748,0,0.0,0.0,-7.645848832386245,True,2
Eucalyptus sideroxylon,hist_gradient_boosting,0.632296686511535,3492,107,1.5799023584640748,0,0.0,0.0,-7.645848832386245,True,2
Aspidosperma ramiflorum,powerlaw_loglinear,0.3093890286370803,3530,69,0.9130742857678454,0,0.0,0.0,-10.123506955669036,True,2
Aspidosperma ramiflorum,random_forest,0.41323510690085574,3530,69,0.9130742857678454,0,0.0,0.0,-10.123506955669036,True,2
Aspidosperma ramiflorum,hist_gradient_boosting,0.36750291583883143,3530,69,0.9130742857678454,0,0.0,0.0,-10.123506955669036,True,2
Aspidosperma tambopatense,powerlaw_loglinear,0.44511580753014485,3481,118,1.0398828382385357,0,0.0,0.0,-9.245144744057024,True,2
Aspidosperma tambopatense,random_forest,0.4721007002223247,3481,118,1.0398828382385357,0,0.0,0.0,-9.245144744057024,True,2
Aspidosperma tambopatense,hist_gradient_boosting,0.4308787637019933,3481,118,1.0398828382385357,0,0.0,0.0,-9.245144744057024,True,2
Pouteria sp.,powerlaw_loglinear,0.26698588398293954,3485,114,0.572402815422578,0,0.0,0.0,-9.341951505976827,True,2
Pouteria sp.,random_forest,0.38704536100285714,3485,114,0.572402815422578,0,0.0,0.0,-9.341951505976827,True,2
Pouteria sp.,hist_gradient_boosting,0.3002344381594591,3485,114,0.572402815422578,0,0.0,0.0,-9.341951505976827,True,2
Euterpe precatoria,powerlaw_loglinear,0.24634458196853662,3560,39,2.494626804045431,0,0.0,0.0,-10.96905900555696,True,2
Euterpe precatoria,random_forest,0.5131245592364059,3560,39,2.494626804045431,0,0.0,0.0,-10.96905900555696,True,2
Euterpe precatoria,hist_gradient_boosting,0.278230277407675,3560,39,2.494626804045431,0,0.0,0.0,-10.96905900555696,True,2
Cedrelinga catanaeformis,powerlaw_loglinear,0.37482835701062583,3542,57,0.3774568787046291,0,0.0,0.0,-8.983199386249293,True,2
Cedrelinga catanaeformis,random_forest,0.40389492296203144,3542,57,0.3774568787046291,0,0.0,0.0,-8.983199386249293,True,2
Cedrelinga catanaeformis,hist_gradient_boosting,0.35663676829025526,3542,57,0.3774568787046291,0,0.0,0.0,-8.983199386249293,True,2
Tachigali vasquezii,powerlaw_loglinear,0.6497667293329558,3530,69,0.11586313478356575,0,0.0,0.0,-8.329100866605359,True,2
Tachigali vasquezii,random_forest,0.7877841658630161,3530,69,0.11586313478356575,0,0.0,0.0,-8.329100866605359,True,2
Tachigali vasquezii,hist_gradient_boosting,0.7207521422039064,3530,69,0.11586313478356575,0,0.0,0.0,-8.329100866605359,True,2
Berholletia excelsa,powerlaw_loglinear,0.2690467181737487,3544,55,0.8193262997375198,0,0.0,0.0,-7.585655687695272,True,2
Berholletia excelsa,random_forest,0.4410537486995599,3544,55,0.8193262997375198,0,0.0,0.0,-7.585655687695272,True,2
Berholletia excelsa,hist_gradient_boosting,0.32362185320203873,3544,55,0.8193262997375198,0,0.0,0.0,-7.585655687695272,True,2
Cecropia ficifolia,powerlaw_loglinear,0.43595499921804476,3544,55,1.060029539905855,0,0.0,0.0,-8.92440357996254,True,2
Cecropia ficifolia,random_forest,0.47892531964664875,3544,55,1.060029539905855,0,0.0,0.0,-8.92440357996254,True,2
Cecropia ficifolia,hist_gradient_boosting,0.45685551647369577,3544,55,1.060029539905855,0,0.0,0.0,-8.92440357996254,True,2
Bellucia pentamera,powerlaw_loglinear,0.721625094814963,3539,60,0.42344873974758945,0,0.0,0.0,-9.23187563756538,True,2
Bellucia pentamera,random_forest,0.8545465123773959,3539,60,0.42344873974758945,0,0.0,0.0,-9.23187563756538,True,2
Bellucia pentamera,hist_gradient_boosting,0.8305700770992844,3539,60,0.42344873974758945,0,0.0,0.0,-9.23187563756538,True,2
Theobroma speciosum,powerlaw_loglinear,0.33699551143708084,3527,72,0.5777030903404019,0,0.0,0.0,-10.892309023940399,True,2
Theobroma speciosum,random_forest,0.4252865050286417,3527,72,0.5777030903404019,0,0.0,0.0,-10.892309023940399,True,2
Theobroma speciosum,hist_gradient_boosting,0.3782277847821234,3527,72,0.5777030903404019,0,0.0,0.0,-10.892309023940399,True,2
Schizolobium amazonicum,powerlaw_loglinear,0.23082673207801246,3539,60,0.6842219428894494,0,0.0,0.0,-8.381542873483024,True,2
Schizolobium amazonicum,random_forest,0.37700614685206696,3539,60,0.6842219428894494,0,0.0,0.0,-8.381542873483024,True,2
Schizolobium amazonicum,hist_gradient_boosting,0.32261985670952387,3539,60,0.6842219428894494,0,0.0,0.0,-8.381542873483024,True,2
Swietenia macrophylla,powerlaw_loglinear,0.1681876246350332,3540,59,0.4946104531202052,0,0.0,0.0,-9.004657013587757,True,2
Swietenia macrophylla,random_forest,0.2916016234287717,3540,59,0.4946104531202052,0,0.0,0.0,-9.004657013587757,True,2
Swietenia macrophylla,hist_gradient_boosting,0.23139669514052946,3540,59,0.4946104531202052,0,0.0,0.0,-9.004657013587757,True,2
Amburana cearensis,powerlaw_loglinear,0.2746620083050157,3541,58,0.8559106280723212,0,0.0,0.0,-8.668714923992805,True,2
Amburana cearensis,random_forest,0.343787555403896,3541,58,0.8559106280723212,0,0.0,0.0,-8.668714923992805,True,2
Amburana cearensis,hist_gradient_boosting,0.31438197610106483,3541,58,0.8559106280723212,0,0.0,0.0,-8.668714923992805,True,2
Cariniana micrantha,powerlaw_loglinear,0.23089535323309945,3529,70,1.372110948429283,0,0.0,0.0,-9.224239561210176,True,2
Cariniana micrantha,random_forest,0.44203548605245235,3529,70,1.372110948429283,0,0.0,0.0,-9.224239561210176,True,2
