model_name,correction,shrinkage,is_hybrid,is_blind,cv_rmsle,lomo_mean_rmsle,lomo_median_rmsle,lomo_worst_rmsle,size_cut_rmsle,distance_spearman
hist_gradient_boosting,,,False,True,0.12963313235633495,0.3592919101020166,0.30701737969020504,0.6857023422989421,1.0717519585509527,0.5384615384615384
ipb98y2_analytic,,,False,False,0.19934284163621757,0.18844349163138224,0.1973676563878414,0.2748479842757165,0.19440636965136043,-0.489010989010989
mean_baseline,,,False,True,0.8685778027876655,0.9935763663195162,1.0079964906077226,1.628585559883982,1.459310027451591,0.5604395604395604
random_forest,,,False,True,0.1277352778940419,0.46489304181310953,0.45025392554319443,0.8573763614997421,0.9377674151597658,0.8461538461538461
ridge_log_quadratic,,,False,True,0.15842117066991568,0.2997055921795116,0.23783534388560798,1.083009024429157,0.5419887188174665,0.25274725274725274
ridge_loglinear,,,False,True,0.18123437655884575,0.21407599766914132,0.21552600328195384,0.28907712742060465,0.27782310857361403,-0.06043956043956044
hybrid_gbm_s0,gbm,0.0,True,True,0.18123437655884575,0.21407599766914132,0.21552600328195384,0.28907712742060465,0.27782310857361403,-0.06043956043956044
hybrid_gbm_s0p1,gbm,0.1,True,True,0.1770921321689063,0.2153600474833746,0.21536103015582006,0.2840036985537366,0.2689844410249265,-0.09340659340659341
hybrid_gbm_s0p2,gbm,0.2,True,True,0.17315486654150694,0.21726515023497972,0.21523176890877221,0.28265519067414213,0.2604207190271442,0.07692307692307693
hybrid_gbm_s0p3,gbm,0.3,True,True,0.16943686977546124,0.2197199188942789,0.21513828391098141,0.2813217840004703,0.25215995679900094,0.15384615384615385
hybrid_gbm_s0p4,gbm,0.4,True,True,0.1659528799781069,0.22262913314141766,0.2150806218129956,0.2800036942733374,0.2442328975717027,0.21428571428571427
hybrid_gbm_s0p5,gbm,0.5,True,True,0.16271792896964712,0.22590594524269053,0.21806380833736386,0.2834059821724289,0.2366730745750395,0.2802197802197802
hybrid_gbm_s0p6,gbm,0.6,True,True,0.15974714690640365,0.22948425125348407,0.22365773607119455,0.30668737744648816,0.22951677875587045,0.3076923076923077
hybrid_gbm_s0p8,gbm,0.8,True,True,0.1546576397147311,0.23737257051986613,0.22778492301186423,0.35380939689792895,0.21657257749128553,0.34065934065934067
hybrid_gbm_s1,gbm,1.0,True,True,0.1507974207511996,0.2460628771204066,0.2332703333213184,0.40145787944550493,0.20573501653465057,0.4945054945054945
hybrid_ridge_s0,ridge,0.0,True,True,0.18123437655884575,0.21407599766914132,0.21552600328195384,0.28907712742060465,0.27782310857361403,-0.06043956043956044
hybrid_ridge_s0p1,ridge,0.1,True,True,0.17973890470360018,0.21494586562328294,0.21307005079724822,0.28809220373400296,0.2834929948680357,-0.02197802197802198
hybrid_ridge_s0p2,ridge,0.2,True,True,0.17834472100514356,0.21611061865615394,0.2134178769890399,0.28714209415983327,0.289729117191485,0.07142857142857142
hybrid_ridge_s0p3,ridge,0.3,True,True,0.17705421820937048,0.21752945441912475,0.212386423928029,0.28622714538682287,0.2964957491861113,0.11538461538461539
hybrid_ridge_s0p4,ridge,0.4,True,True,0.17586967871135867,0.21918944700066045,0.2113703395552701,0.32141683443125424,0.3037574393325649,0.027472527472527472
hybrid_ridge_s0p5,ridge,0.5,True,True,0.17479325680162244,0.22109400082645758,0.21393601851273478,0.36060890207903046,0.31147956488650635,0.0
hybrid_ridge_s0p6,ridge,0.6,True,True,0.17382696104337667,0.2232571379336303,0.21534567686272785,0.4001455626437108,0.31962875568613186,0.0
hybrid_ridge_s0p8,ridge,0.8,True,True,0.17223195115024295,0.22844504147430958,0.21826983290233778,0.4799113773593894,0.3370828383102908,0.054945054945054944
hybrid_ridge_s1,ridge,1.0,True,True,0.17109717041602063,0.2349196513683155,0.22132913013338165,0.5602715037394023,0.3558868882319871,0.054945054945054944
