model_name,method,is_blind,lomo_coverage,lomo_interval_factor,size_cut_coverage,size_cut_interval_factor,lomo_shortfall,size_cut_shortfall
ipb98y2_analytic,split,False,0.8916734033953112,1.3982757225698461,0.8831501831501831,1.3767225984697504,-0.008326596604688818,-0.0168498168498169
ridge_loglinear,split,True,0.8302344381568311,1.327710827444374,0.7047619047619048,1.3717631084928388,-0.06976556184316896,-0.1952380952380952
random_forest,split,True,0.3542441390460792,1.230722947690569,0.02673992673992674,1.2592460250656583,-0.5457558609539208,-0.8732600732600733
hist_gradient_boosting,split,True,0.4460792239288601,1.2325114968450124,0.0029304029304029304,1.2478603852531214,-0.4539207760711399,-0.8970695970695971
powerlaw_collisionless,split,True,0.8549717057396928,1.3313908813642716,0.9142857142857143,1.3632745222645404,-0.04502829426030719,0.014285714285714235
ipb98y2_analytic,machine_cv,False,0.8937752627324171,1.3964957752228566,0.8879120879120879,1.3843892923132015,-0.0062247372675828805,-0.012087912087912156
ridge_loglinear,machine_cv,True,0.9086499595796281,1.4189217850859228,0.7710622710622711,1.4265120686936328,0.008649959579628108,-0.12893772893772892
random_forest,machine_cv,True,0.8831042845594179,2.0290447107734986,0.28534798534798533,1.9132769333653217,-0.016895715440582104,-0.6146520146520147
hist_gradient_boosting,machine_cv,True,0.9034761519805983,1.8304007835462173,0.03772893772893773,1.6253872974848136,0.003476151980598252,-0.8622710622710623
powerlaw_collisionless,machine_cv,True,0.909781729991916,1.3997801722463483,0.9501831501831501,1.4326242000480174,0.009781729991915955,0.050183150183150116
ipb98y2_analytic,machine_cv_distance,False,0.8936135812449475,1.411424769264123,0.8655677655677656,1.3591293706424707,-0.006386418755052525,-0.03443223443223442
ridge_loglinear,machine_cv_distance,True,0.9162489894907033,1.4284506860438355,0.815018315018315,1.4614488945481785,0.016248989490703303,-0.08498168498168501
random_forest,machine_cv_distance,True,0.880517380759903,1.7111935418310777,0.4032967032967033,2.1177373443832708,-0.019482619240096977,-0.4967032967032967
hist_gradient_boosting,machine_cv_distance,True,0.8916734033953112,1.7101915096344211,0.12564102564102564,1.7852731547878242,-0.008326596604688818,-0.7743589743589744
powerlaw_collisionless,machine_cv_distance,True,0.9188358932902183,1.4171751797084828,0.9168498168498168,1.3823782375031226,0.018835893290218286,0.01684981684981679
