model_name,tokamak,n_held_out_rows,rmsle,variance_ratio,intraclass_correlation,n_training_groups
mixed_random_intercept,ASDEX,431,0.1609731033673794,2.0946634316851185,0.6768630831510243,17
mixed_random_intercept,AUG,1377,0.26499226234867557,1.8825182701613155,0.6530811234219736,17
mixed_random_intercept,AUGW,767,0.13363094262266387,1.988734094100106,0.6654101808608385,17
mixed_random_intercept,CMOD,45,0.5534844158392224,1.423695505347532,0.5874069173319646,17
mixed_random_intercept,D3D,388,0.24249477409558826,2.2809444383802777,0.6952097120871465,17
mixed_random_intercept,JET,1762,0.16471405762098965,8.075759520934156,0.8898163842162853,17
mixed_random_intercept,JETILW,866,0.2615583949971361,1.7120798645949487,0.631279294885606,17
mixed_random_intercept,JFT2M,69,0.22387005298936824,2.137531486742501,0.6812780989687418,17
mixed_random_intercept,JT60U,100,0.33932656622012586,2.0244818247696377,0.6693648505967909,17
mixed_random_intercept,MAST,39,0.2379353756101376,2.147437851121012,0.6822812562783938,17
mixed_random_intercept,NSTX,185,0.30084003528908365,2.7113207428937565,0.7305541425071524,17
mixed_random_intercept,PBXM,59,0.302709614216972,2.103004514872425,0.6777316967451743,17
mixed_random_intercept,PDX,97,0.24966949285010817,2.1661225253891585,0.6841562535937908,17
