model_name,tokamak,n_held_out_rows,rmsle,r2_log,mae_s,is_blind
mean_baseline,JET,2628,1.449695690945018,-9.662278858299574,0.23581885061603272,True
ridge_loglinear,JET,2628,0.18465707537664866,0.827007113012818,0.04491321957174656,True
random_forest,JET,2628,0.6616389468243971,-1.2209483770495657,0.1463297051361508,True
hist_gradient_boosting,JET,2628,0.7380584060456152,-1.763616663419068,0.15924350338536258,True
mean_baseline,AUG,2130,0.6938146434641811,-2.605346912081065,0.06328854144720508,True
ridge_loglinear,AUG,2130,0.1951118501419804,0.714880165416698,0.013936736914251086,True
random_forest,AUG,2130,0.3800551321062724,-0.08181584725598356,0.021664448959615185,True
hist_gradient_boosting,AUG,2130,0.3017327491418279,0.3181245797733786,0.018192822642635498,True
mean_baseline,ASDEX,431,1.4176329815604798,-28.101685049255035,0.1020433710502745,True
ridge_loglinear,ASDEX,431,0.1938882532332869,0.45563083766890267,0.005506156740672889,True
random_forest,ASDEX,431,0.5005021515217953,-2.627458198642779,0.01962002379516505,True
hist_gradient_boosting,ASDEX,431,0.23426158010932532,0.2053193183189238,0.00655846974661273,True
mean_baseline,D3D,388,0.39922243925801815,-0.04946467906542895,0.03659347219713211,True
ridge_loglinear,D3D,388,0.25131130602419216,0.5841257860579954,0.02419133554211159,True
random_forest,D3D,388,0.4136031021504384,-0.1264333852912789,0.03832723118767579,True
hist_gradient_boosting,D3D,388,0.25465227562984727,0.5729949003954901,0.025101060596310967,True
mean_baseline,NSTX,185,1.3291311427541082,-27.133200837393616,0.09341421307648311,True
ridge_loglinear,NSTX,185,0.2886773331513479,-0.3271158852546079,0.007513691525826224,True
random_forest,NSTX,185,0.8603629710329888,-10.788183827536308,0.04309829246490722,True
hist_gradient_boosting,NSTX,185,0.5920938097682451,-4.582960044564475,0.02166845410729302,True
mean_baseline,JT60U,100,0.477594327749119,-1.0157370501586622,0.06655600871377415,True
ridge_loglinear,JT60U,100,0.2854808928029526,0.27977258141020345,0.05638853159045253,True
random_forest,JT60U,100,0.2889405997408951,0.26221011317843224,0.05174499176543895,True
hist_gradient_boosting,JT60U,100,0.24869239233993828,0.4534365848346099,0.0405190115861921,True
mean_baseline,PDX,97,1.4404669615659504,-21.9002088463069,0.09489766607368766,True
ridge_loglinear,PDX,97,0.2329372828568516,0.401159933410818,0.005899554274476565,True
random_forest,PDX,97,0.4127841064162617,-0.8805235380554985,0.011697837565610221,True
hist_gradient_boosting,PDX,97,0.31510141560868477,-0.09580568199137507,0.007767940998850004,True
mean_baseline,JFT2M,69,1.6294825730247064,-51.28798660576431,0.10088228455549095,True
ridge_loglinear,JFT2M,69,0.09378956622966651,0.8267746156730031,0.0019768629503750367,True
random_forest,JFT2M,69,0.4908488285846046,-3.7445824355445705,0.014604139098281647,True
hist_gradient_boosting,JFT2M,69,0.20747885512237502,0.1522844206042967,0.0036006843738449106,True
mean_baseline,PBXM,59,1.0088624593434719,-22.693357306858708,0.07794599543901888,True
ridge_loglinear,PBXM,59,0.2732584160145755,-0.7382401346354404,0.011726400995711986,True
random_forest,PBXM,59,0.715843783366457,-10.928866976695971,0.023586119246820584,True
hist_gradient_boosting,PBXM,59,0.48519840532837283,-4.480263111516284,0.01784454428027143,True
mean_baseline,CMOD,45,0.7475793347236742,-19.617531522379274,0.064059632162036,True
ridge_loglinear,CMOD,45,0.17253649013184066,-0.09820650013713972,0.008567226867525446,True
random_forest,CMOD,45,0.4689672280348511,-7.113478345487984,0.03338486488402741,True
hist_gradient_boosting,CMOD,45,0.4337387185223466,-5.94030371172434,0.031191611794931594,True
mean_baseline,MAST,39,1.2469291299853238,-48.75845881102834,0.08850828938843976,True
ridge_loglinear,MAST,39,0.15376471527431823,0.2433470048265759,0.004541170581584385,True
random_forest,MAST,39,0.597564894917902,-10.427560546115169,0.01605313980011599,True
hist_gradient_boosting,MAST,39,0.4444605053205399,-5.321930689562072,0.01657118597470815,True
