min_rows,n_machines_scored,n_forest_worse_than_power_law,mean_gap_forest_minus_power_law,exact_two_sided_p,mean_rmsle_ipb98y2_analytic,mean_rmsle_ridge_loglinear,mean_rmsle_random_forest,mean_rmsle_hist_gradient_boosting
10,15,14,0.2109251208034585,0.0009765625,0.21341912551199538,0.26160378884772656,0.472528909651185,0.3778281780376991
20,13,13,0.25081704414396827,0.000244140625,0.18844349163138224,0.21407599766914132,0.46489304181310953,0.35929191010201667
30,13,13,0.25081704414396827,0.000244140625,0.18844349163138224,0.21407599766914132,0.46489304181310953,0.35929191010201667
50,11,11,0.22588673764930373,0.0009765625,0.19945262547764156,0.22332252505360672,0.4492092627029104,0.3441157486631685
