model_name,scope,n_train_machines,size_ratio,n_held_out_rows,rmsle,r2_log,mae_s,is_blind
ipb98y2_analytic,JETILW,14,1.8230563002680964,866,0.256629652478898,0.13749508121821863,0.05332775975454151,False
ipb98y2_analytic,JET,14,1.8230563002680964,1762,0.14786640407873294,0.8651906375969376,0.04008943635148512,False
ipb98y2_analytic,JT60U,14,1.8230563002680964,100,0.2748479842757165,0.33242406834708016,0.05207984580029731,False
mean_baseline,JETILW,14,1.8230563002680964,866,1.0831236468745837,-14.363988867569416,0.1325733788305822,True
mean_baseline,JET,14,1.8230563002680964,1762,1.6325848600760822,-15.433594292524482,0.2892091262117974,True
mean_baseline,JT60U,14,1.8230563002680964,100,1.001255156282039,-7.8594158898481705,0.11594741293562988,True
ridge_loglinear,JETILW,14,1.8230563002680964,866,0.3462301877040043,-0.5699209001148005,0.07758629078018194,True
ridge_loglinear,JET,14,1.8230563002680964,1762,0.2227528899413718,0.694066013420473,0.07092249729008322,True
ridge_loglinear,JT60U,14,1.8230563002680964,100,0.44038486522904047,-0.7138796741777682,0.10066311495170367,True
random_forest,JETILW,14,1.8230563002680964,866,0.6596761211173506,-4.699141454711689,0.0962216395407505,True
random_forest,JET,14,1.8230563002680964,1762,1.063188173219838,-5.969494913343315,0.23498148240745942,True
random_forest,JT60U,14,1.8230563002680964,100,0.5627277329981477,-1.798415491138286,0.07708217117762226,True
hist_gradient_boosting,JETILW,14,1.8230563002680964,866,0.7798675028166033,-6.965069250429109,0.1078789357791644,True
hist_gradient_boosting,JET,14,1.8230563002680964,1762,1.2052075899403094,-7.955807450237916,0.25090536565110055,True
hist_gradient_boosting,JT60U,14,1.8230563002680964,100,0.7003209357382123,-3.3342082773129027,0.09172251852129666,True
powerlaw_free,JETILW,14,1.8230563002680964,866,0.34730439307977307,-0.5796776090868807,0.0779177097080336,True
powerlaw_free,JET,14,1.8230563002680964,1762,0.22403901883030308,0.690523016093672,0.07154447792926366,True
powerlaw_free,JT60U,14,1.8230563002680964,100,0.44169461982568486,-0.7240893795835168,0.1010792510970895,True
powerlaw_kadomtsev,JETILW,14,1.8230563002680964,866,0.31982141153390753,-0.33956249665713956,0.06959450096331958,True
powerlaw_kadomtsev,JET,14,1.8230563002680964,1762,0.20053173154025827,0.7520596332224184,0.0616326709176714,True
powerlaw_kadomtsev,JT60U,14,1.8230563002680964,100,0.4051109397168355,-0.45031887929164904,0.09005509613832344,True
powerlaw_collisionless,JETILW,14,1.8230563002680964,866,0.22351716181917677,0.3457109423116195,0.0450218242007826,True
powerlaw_collisionless,JET,14,1.8230563002680964,1762,0.149049689174365,0.8630244096049683,0.042771879414978044,True
powerlaw_collisionless,JT60U,14,1.8230563002680964,100,0.30250985896703353,0.1912866277316645,0.06103484540180138,True
powerlaw_electrostatic,JETILW,14,1.8230563002680964,866,0.30727442786249287,-0.23651886393980992,0.06646032294505252,True
powerlaw_electrostatic,JET,14,1.8230563002680964,1762,0.1938751939658857,0.7682469159312888,0.054885307200284617,True
powerlaw_electrostatic,JT60U,14,1.8230563002680964,100,0.23941938934481227,0.4934361480167788,0.0391013956039483,True
hybrid_gbm_s1,JETILW,14,1.8230563002680964,866,0.26567509651499954,0.07562199566235339,0.05562738394709005,True
hybrid_gbm_s1,JET,14,1.8230563002680964,1762,0.1624158080330159,0.8373561575785232,0.04575674376980668,True
hybrid_gbm_s1,JT60U,14,1.8230563002680964,100,0.2808163799862195,0.30311610003770983,0.05382261777798866,True
