degree,alpha,tokamak,n_held_out_rows,rmsle,feature_mahalanobis
1,1.0,CMOD,45,0.17281698025423428,6.937744525296737
1,1.0,MAST,39,0.1536232138549273,5.375921749336576
1,10.0,JET,1762,0.2026287598571147,2.189768389167002
1,10.0,AUG,1377,0.2146382483786843,1.2399939601552896
1,10.0,JETILW,866,0.21676195503388107,1.7024302608804454
1,10.0,AUGW,767,0.21010412539451134,1.6457652294950753
1,10.0,ASDEX,431,0.19108504164630125,5.187342932450245
1,10.0,D3D,388,0.2506054171213496,1.1410663145491857
1,10.0,NSTX,185,0.28948565627095757,7.8308993076380045
1,10.0,JT60U,100,0.2847813712700661,2.483394451114324
1,10.0,PDX,97,0.23175888117726573,4.045943810544166
1,10.0,JFT2M,69,0.09318080989291522,5.434784443628557
1,10.0,PBXM,59,0.2680683980246291,10.18020691511417
1,10.0,CMOD,45,0.18044357715915435,6.937744525296737
1,10.0,MAST,39,0.15176616635557347,5.375921749336576
1,100.0,JET,1762,0.2501825793152584,2.189768389167002
1,100.0,AUG,1377,0.21032253481456545,1.2399939601552896
1,100.0,JETILW,866,0.22622808517568643,1.7024302608804454
1,100.0,AUGW,767,0.23229252970014508,1.6457652294950753
1,100.0,ASDEX,431,0.17146502022117735,5.187342932450245
1,100.0,D3D,388,0.2469686764082387,1.1410663145491857
1,100.0,NSTX,185,0.3039740316794734,7.8308993076380045
1,100.0,JT60U,100,0.281858412403753,2.483394451114324
1,100.0,PDX,97,0.22824804668106302,4.045943810544166
1,100.0,JFT2M,69,0.09947445807515769,5.434784443628557
1,100.0,PBXM,59,0.22879796729934287,10.18020691511417
1,100.0,CMOD,45,0.2481423933852554,6.937744525296737
1,100.0,MAST,39,0.14086299032132912,5.375921749336576
1,1000.0,JET,1762,0.5094594603953125,2.189768389167002
1,1000.0,AUG,1377,0.2558630830045158,1.2399939601552896
1,1000.0,JETILW,866,0.29093980700354055,1.7024302608804454
1,1000.0,AUGW,767,0.3527394878381643,1.6457652294950753
1,1000.0,ASDEX,431,0.2112755992558553,5.187342932450245
1,1000.0,D3D,388,0.278039981306831,1.1410663145491857
1,1000.0,NSTX,185,0.5412445893903619,7.8308993076380045
1,1000.0,JT60U,100,0.2995609271219209,2.483394451114324
1,1000.0,PDX,97,0.2822235775102247,4.045943810544166
