population,model,n_devices,cv_pooled_all_rows,cv_matched,lodo,transfer_ratio,cv_matched_pooled,lodo_pooled
standard_set,ridge_loglinear,7,0.2553416736000727,0.28794178716276825,0.44166530474528437,1.5338701238789596,0.25559961227278394,0.4633367439238106
standard_set,random_forest,7,0.1815516134898204,0.2091990790490075,0.814246231795177,3.892207535026622,0.1814366107645743,0.969208799305616
standard_set,hist_gradient_boosting,7,0.1783431568400116,0.2027047611476923,0.9495802089378786,4.684548125862752,0.1780326152816076,1.077341503227506
standard_set,mean_baseline,7,1.0383142520127302,0.9929845200745225,1.0897298025477495,1.0974287922091337,1.0395006616169782,1.1628971790542055
standard_set,ridge_log_quadratic,7,0.22040417097261308,0.2421508518621091,0.4170638462210414,1.7223307001147168,0.21974061912108236,0.4101105911680918
standard_set,ridge_log_cubic,7,0.19826243915754851,0.21979805789382323,1.0086160964611122,4.588830793711287,0.19701143702801313,1.2722473378227397
standard_set,gp_linear_rbf,7,0.16658966360103059,0.19492300470326238,0.40909439592810576,2.098748665150547,0.16587070610370108,0.42957071856458273
all_measured_rows,ridge_loglinear,8,0.32253988328591077,0.3608575816079289,0.6992929352984655,1.9378640520243966,0.3224401781103756,0.9399102108465135
all_measured_rows,random_forest,8,0.1879598471565687,0.22257037394722173,0.6883668098207707,3.092805199599492,0.18800078870854656,1.1664855916760088
all_measured_rows,hist_gradient_boosting,8,0.25859144709509607,0.24443464859485592,1.0409263030074147,4.258505530992552,0.2581287464332542,1.4171601274770134
