model_name,n_train_machines,size_ratio,n_train_rows,n_test_rows,rmsle,r2_log,is_blind,well_powered
hist_gradient_boosting,3,5.022898507903679,68,6160,1.5696282770302965,-2.3863905830686805,True,False
ipb98y2_analytic,3,5.022898507903679,68,6160,0.1996221100506206,0.945227734638304,False,False
mean_baseline,3,5.022898507903679,68,6160,1.66815663576347,-2.8248734850410813,True,False
random_forest,3,5.022898507903679,68,6160,1.7132484734000861,-3.0344480430526257,True,False
ridge_loglinear,3,5.022898507903679,68,6160,0.34526079416494704,0.8361532051636335,True,False
hist_gradient_boosting,4,3.924837061543754,107,6121,1.1852544420285702,-0.9454902941009171,True,False
ipb98y2_analytic,4,3.924837061543754,107,6121,0.1999607195714666,0.9446273552525486,False,False
mean_baseline,4,3.924837061543754,107,6121,1.613371995645351,-2.604748036354585,True,False
random_forest,4,3.924837061543754,107,6121,1.1491864090586152,-0.8288868931205697,True,False
ridge_loglinear,4,3.924837061543754,107,6121,0.40085229219822743,0.7774771426295325,True,False
hist_gradient_boosting,5,3.924837061543754,114,6114,1.16572716802224,-0.8913528869406062,True,False
ipb98y2_analytic,5,3.924837061543754,114,6114,0.20005077117901804,0.9442994876124348,False,False
mean_baseline,5,3.924837061543754,114,6114,1.6448787695367169,-2.7657069585492438,True,False
random_forest,5,3.924837061543754,114,6114,1.1723220346912544,-0.9128133157988572,True,False
ridge_loglinear,5,3.924837061543754,114,6114,0.35383634628797933,0.825745655702863,True,False
hist_gradient_boosting,6,3.682842287694974,299,5929,1.470614684191647,-2.155895879386697,True,False
ipb98y2_analytic,6,3.682842287694974,299,5929,0.19931904239829404,0.9420274432869793,False,False
mean_baseline,6,3.682842287694974,299,5929,1.606484257931244,-2.76597834617722,True,False
random_forest,6,3.682842287694974,299,5929,1.553796235402906,-2.523002893632641,True,False
ridge_loglinear,6,3.682842287694974,299,5929,0.5289298262239039,0.5917548959825645,True,False
hist_gradient_boosting,7,3.682842287694974,310,5918,1.4967954447718819,-2.2848180787097383,True,False
ipb98y2_analytic,7,3.682842287694974,310,5918,0.1983407963845183,0.9423219562572641,False,False
mean_baseline,7,3.682842287694974,310,5918,1.612936012701409,-2.8143513455961657,True,False
random_forest,7,3.682842287694974,310,5918,1.6831923772509036,-3.153879826061342,True,False
ridge_loglinear,7,3.682842287694974,310,5918,0.2816358062005545,0.8837047024969178,True,False
hist_gradient_boosting,8,2.5894897182025893,379,5849,1.4257105513315251,-2.096463263888347,True,False
ipb98y2_analytic,8,2.5894897182025893,379,5849,0.19924268224246197,0.9395261018961305,False,False
mean_baseline,8,2.5894897182025893,379,5849,1.6660790501830764,-3.228578637439794,True,False
random_forest,8,2.5894897182025893,379,5849,1.6745557211991784,-3.271716391492289,True,False
ridge_loglinear,8,2.5894897182025893,379,5849,0.31044529834480605,0.8531840031258973,True,False
hist_gradient_boosting,9,2.428571428571429,476,5752,1.497377567653143,-2.5662731129806233,True,False
ipb98y2_analytic,9,2.428571428571429,476,5752,0.1987398164629478,0.9371765586017706,False,False
