model_name,weighting,parameter,cv_rmsle,lomo_mean_rmsle,lomo_worst_rmsle,size_cut_rmsle
prior_isotropic_a0p001,isotropic,0.001,0.18123409018564246,0.21406445809222813,0.2890483799448495,0.27898957048634787
prior_isotropic_a0p01,isotropic,0.01,0.18123408357084678,0.2140635901788568,0.28904584517193804,0.2789871627302362
prior_isotropic_a0p1,isotropic,0.1,0.18123401881130904,0.21405491711106664,0.28902051186843786,0.2789631055555257
prior_isotropic_a1,isotropic,1.0,0.18123350800025664,0.2139687886134331,0.288768613276359,0.2787245550235784
prior_isotropic_a10,isotropic,10.0,0.18124023724139965,0.21316361105830686,0.2863853862839395,0.2765250945814542
prior_isotropic_a100,isotropic,100.0,0.18168676728457567,0.2083517071984073,0.27967164878849304,0.2644264599365927
prior_isotropic_a1000,isotropic,1000.0,0.18419736106792897,0.20039616695274778,0.2647373397165446,0.239613631362639
prior_isotropic_a10000,isotropic,10000.0,0.18872382437089863,0.19322887430072758,0.27487964441804896,0.19897312840185738
prior_isotropic_a100000,isotropic,100000.0,0.19155746032006338,0.19036936730954457,0.27865052900596693,0.18700840112385997
prior_spectral_a0p001,spectral,0.001,0.1812340411044576,0.21405485552708925,0.2890174437651326,0.27896437810769764
prior_spectral_a0p01,spectral,0.01,0.18123376860400775,0.21396833211105376,0.28873822663914983,0.2787371684131303
prior_spectral_a0p1,spectral,0.1,0.1812457182212643,0.21317304449644447,0.28610857080273044,0.27664183662766806
prior_spectral_a1,spectral,1.0,0.18174587538056242,0.20895634857077627,0.28123493069411704,0.2654407064240853
prior_spectral_a10,spectral,10.0,0.18317406533045127,0.20407316797653227,0.2751278352334678,0.25728177009440606
prior_spectral_a100,spectral,100.0,0.18493566248470938,0.20238056413232813,0.26688458304910156,0.2546937840300879
prior_spectral_a1000,spectral,1000.0,0.18818038916174615,0.19989464296354245,0.27384652311318897,0.2147981374979774
prior_spectral_a10000,spectral,10000.0,0.1901773610339929,0.1912097220667133,0.27761106138738606,0.1900005941669964
prior_spectral_a100000,spectral,100000.0,0.19175863092824746,0.19003420233884583,0.27903920190878706,0.1859937959467962
prior_truncated_k0,truncated,0.0,0.1922898380348837,0.19047158935440903,0.27932965382310054,0.18552338392532297
prior_truncated_k1,truncated,1.0,0.19038220643246556,0.1882021573363494,0.2790170865269972,0.1842389536026152
prior_truncated_k2,truncated,2.0,0.1901339748193112,0.18993736152587004,0.27737425143155464,0.19041327297637248
prior_truncated_k3,truncated,3.0,0.1900339462764076,0.20101794843241994,0.28145752302087806,0.2720732609092372
prior_truncated_k4,truncated,4.0,0.18871354751136615,0.21110769498962823,0.2831723837534983,0.26958043040779234
prior_truncated_k5,truncated,5.0,0.1876316538427977,0.21450739349317927,0.27403721061489295,0.26895550223533543
prior_truncated_k6,truncated,6.0,0.1848747887865519,0.1985580269809268,0.2712917622508013,0.2956205994344457
prior_truncated_k7,truncated,7.0,0.1835819549228182,0.2044193380170881,0.27623000650756857,0.24706998967067664
prior_truncated_k8,truncated,8.0,0.18123409092218037,0.2140645545338603,0.2890486616024835,0.27898983803770466
