model_name,is_blind,nominal_coverage,cv_coverage,lomo_coverage,size_cut_coverage,coverage_shortfall,cv_interval_factor,lomo_interval_factor,size_cut_interval_factor,distance_spearman
ipb98y2_analytic,False,0.9,0.8978805394990366,0.8916734033953112,0.8831501831501831,0.006207136103725364,1.3872268039858018,1.3982757225698461,1.3767225984697504,0.5469696739087315
ridge_loglinear,True,0.9,0.9010918432883751,0.8302344381568311,0.7047619047619048,0.07085740513154404,1.3357852371650043,1.327710827444374,1.3717631084928388,0.27472527472527475
hybrid_gbm_s1,True,0.9,0.8975594091201028,0.6428455941794664,0.764102564102564,0.2547138149406364,1.2780338825933533,1.259056027605799,1.2949104371022295,0.02197802197802198
hist_gradient_boosting,True,0.9,0.9059087989723827,0.4460792239288601,0.0029304029304029304,0.4598295750435226,1.238637366197177,1.2325114968450124,1.2478603852531214,-0.5384615384615384
random_forest,True,0.9,0.9073538856775851,0.3542441390460792,0.02673992673992674,0.5531097466315059,1.240685724416296,1.230722947690569,1.2592460250656576,-0.7692307692307693
