model_name,is_blind,cv_rmsle,lomo_mean_rmsle,lomo_median_rmsle,lomo_worst_rmsle,worst_machine,degradation_factor,cv_rank,lomo_rank,distance_spearman,lomo_ci_low,lomo_ci_high
ipb98y2_analytic,False,0.19934284163621757,0.1884434916313823,0.1973676563878414,0.2748479842757165,JT60U,0.9453235946905704,6,1,-0.489010989010989,0.15817222844810375,0.21867235716374506
ridge_loglinear,True,0.18123437655884575,0.21407599766914132,0.21552600328195384,0.28907712742060465,NSTX,1.1812107710130373,5,2,-0.06043956043956044,0.18332364122310568,0.24144764681157355
ridge_log_quadratic,True,0.15842117066991568,0.2997055921795116,0.23783534388560798,1.083009024429157,CMOD,1.8918279098187851,4,3,0.25274725274725274,0.20555649499833678,0.443348694809218
hist_gradient_boosting,True,0.12963313235633495,0.3592919101020166,0.30701737969020504,0.6857023422989421,NSTX,2.7716055577087864,2,4,0.5384615384615384,0.27948686136603,0.4423062273222134
random_forest,True,0.1277352778940419,0.46489304181310953,0.4502539255431945,0.857376361499742,NSTX,3.6395038980440817,1,5,0.8461538461538461,0.3761590649969643,0.559762635831689
ridge_log_cubic,True,0.14793519944791098,0.8490918952560845,0.29480888855707793,4.6007078185392905,CMOD,5.739620444795194,3,6,0.5659340659340659,0.2994729459794022,1.5930023159396733
mean_baseline,True,0.8685778027876655,0.9935763663195161,1.0079964906077226,1.628585559883982,JFT2M,1.1439117637253366,7,7,0.5604395604395604,0.7802983505989265,1.217741061844043
