degree,n_terms,alpha,cv_rmsle,lomo_mean_rmsle,lomo_median_rmsle,lomo_worst_rmsle,worst_machine,degradation_factor,distance_spearman,focus_machine_rmsle,n_clipped_predictions
1,9,0.001,0.1812340905536453,0.21406456508992064,0.21563135707260447,0.28904868830436087,NSTX,1.1811495532434473,-0.06043956043956044,0.17196228510161565,0
1,9,0.01,0.18123408729608023,0.21406466017482811,0.21563040162042507,0.28904892878081306,NSTX,1.1811500991262913,-0.06043956043956044,0.17196999187792533,0
1,9,0.1,0.18123406058298977,0.2140656189766368,0.21562085344092644,0.28905134933808696,NSTX,1.181155563628797,-0.06043956043956044,0.17204705286654176,0
1,9,1.0,0.1812343765588457,0.21407599766914187,0.21552600328195776,0.2890771274206093,NSTX,1.1812107710130406,-0.06043956043956044,0.17281698025423428,0
1,9,10.0,0.18129288888805406,0.21425449289095416,0.2146382483786843,0.28948565627095757,NSTX,1.1818141031623886,-0.06043956043956044,0.18044357715915435,0
1,9,100.0,0.18556908857190668,0.2206782865754189,0.22879796729934287,0.3039740316794734,NSTX,1.1891974480971148,0.01098901098901099,0.2481423933852554,0
1,9,1000.0,0.2679061286799209,0.3119996490586988,0.2822235775102247,0.5412445893903619,NSTX,1.1645857099128119,-0.08791208791208792,0.5128238510553547,0
1,9,10000.0,0.4748976341916423,0.49094767490032754,0.3615557182116461,1.03272998932139,NSTX,1.033796842841732,0.04945054945054945,0.30547843558622984,0
1,9,100000.0,0.7679651322770632,0.849829466080333,0.8157304372365645,1.3086718685053453,JET,1.106599024307962,0.5164835164835165,0.5083730955481977,0
2,54,0.001,0.15776278918779377,0.30148287543771346,0.23182218899047485,1.0694716826055506,CMOD,1.910988497286529,0.25824175824175827,1.0694716826055506,0
2,54,0.01,0.15776034562976568,0.3014619232388151,0.2320750758645974,1.0697086707569818,CMOD,1.910885286384263,0.25824175824175827,1.0697086707569818,0
2,54,0.1,0.15776111918030616,0.3012719221624688,0.23456668297248315,1.071879464724129,CMOD,1.9096715574015626,0.25824175824175827,1.071879464724129,0
2,54,1.0,0.1584211706699157,0.2997055921795116,0.2378353438856103,1.0830090244291675,CMOD,1.8918279098187847,0.25274725274725274,1.0830090244291675,0
2,54,10.0,0.161394020675124,0.2901743538287824,0.2279071360382546,1.0739802585972364,CMOD,1.7979250570433778,0.24725274725274726,1.0739802585972364,0
2,54,100.0,0.16690256642791923,0.27349589692429493,0.2235779419894985,0.9045175568780423,CMOD,1.6386560301480477,0.3021978021978022,0.9045175568780423,0
2,54,1000.0,0.18471378679202968,0.28796501271484515,0.22285979128959954,0.8146681514629319,CMOD,1.5589795310680659,0.27472527472527475,0.8146681514629319,0
2,54,10000.0,0.3108410159457662,0.39836869028145533,0.3231790701823228,0.8330794748741677,CMOD,1.28158341353176,0.1043956043956044,0.8330794748741677,0
2,54,100000.0,0.5421560213544775,0.5646771163182724,0.5538563157722113,1.0224070076936311,JET,1.0415398779626759,0.08791208791208792,0.21403601836804084,0
3,219,0.001,0.1450418514804379,1.1567200077399313,0.6383836782219466,4.931134498787066,CMOD,7.975077509927819,0.7362637362637363,4.931134498787066,0
3,219,0.01,0.1446002408675698,1.1051427252481134,0.4142638725449594,4.922215184559323,CMOD,7.642744705109057,0.6978021978021978,4.922215184559323,0
3,219,0.1,0.1454827452306045,1.0409953066966913,0.33904265698183095,4.9388105805890055,CMOD,7.155455480624943,0.6703296703296703,4.9388105805890055,0
3,219,1.0,0.147935199447911,0.8490918952560829,0.29480888855708015,4.600707818539402,CMOD,5.7396204447951815,0.5659340659340659,4.600707818539402,0
3,219,10.0,0.15149921232436164,0.5884820352735767,0.2735418070018698,3.4945103652169727,CMOD,3.8843900654323504,0.4725274725274725,3.4945103652169727,0
3,219,100.0,0.15877125132282813,0.4105148144520022,0.3141273021653845,1.823599713666211,CMOD,2.5855739690386783,0.5769230769230769,1.823599713666211,0
3,219,1000.0,0.1744712431134012,0.3440326717214131,0.3032512428667097,0.8635215992820596,CMOD,1.9718588896498086,0.5274725274725275,0.8635215992820596,0
3,219,10000.0,0.2245907546470181,0.3890353599674603,0.321960755020236,0.8497348668921835,CMOD,1.732196681821985,0.7252747252747253,0.8497348668921835,0
3,219,100000.0,0.4055598014632464,0.5238262265829184,0.5142607218903722,0.9372413118229332,NSTX,1.2916127897611418,0.532967032967033,0.7621474595488817,0
4,714,0.001,0.15244860341044836,1.9195570680971805,0.8448202653363241,8.475961783298038,PBXM,12.591503137152518,0.8571428571428571,5.408897454195322,0
4,714,0.01,0.14058538251404484,1.5050143990175968,0.8141205991595906,4.936908326955918,PBXM,10.705340570291808,0.8901098901098901,3.544524675658128,0
4,714,0.1,0.13723623697770226,0.9064352658395728,0.3399066060215701,3.7919385566874815,NSTX,6.604926554397201,0.7417582417582418,1.3951184011342421,0
4,714,1.0,0.13927949992852243,0.9492948391093943,0.3610207932553833,3.5355565971481844,CMOD,6.815754217932774,0.7362637362637363,3.5355565971481844,0
4,714,10.0,0.14436339518711885,0.8333902198907859,0.3349246190755747,5.0637093059900105,CMOD,5.772863812260541,0.6813186813186813,5.0637093059900105,0
4,714,100.0,0.15170612937168632,0.6276339861616097,0.3451537374440642,3.7179921697800613,CMOD,4.137169597306648,0.4945054945054945,3.7179921697800613,0
4,714,1000.0,0.16734011168895171,0.4451981438688798,0.3760993725749472,1.5071730383952984,CMOD,2.6604389071784817,0.7967032967032966,1.5071730383952984,0
4,714,10000.0,0.20169016066729267,0.4184716441086688,0.3432521970662562,1.0026289442093237,PBXM,2.074824288523316,0.7417582417582418,0.7249368481508053,0
4,714,100000.0,0.3238493022425975,0.5518139419953914,0.5244263011637701,1.0741373592169745,CMOD,1.703921972887328,0.7857142857142857,1.0741373592169745,0
