model_name,tokamak,n_held_out_rows,rmsle,r2_log,mae_s,is_blind,feature_mahalanobis,n_features_outside_train_range,target_above_train_max_fraction,target_below_train_min_fraction,log_target_headroom
ipb98y2_analytic,JET,1762,0.14786640407873294,0.8651906375969376,0.04008943635148512,False,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
mean_baseline,JET,1762,1.4160599734986126,-11.36358235064167,0.2721470340946211,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
ridge_loglinear,JET,1762,0.1979097980970751,0.758500840773906,0.05720913257823337,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
random_forest,JET,1762,0.4779851207032848,-0.4086716902651095,0.12794117115762435,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hist_gradient_boosting,JET,1762,0.4867978709251852,-0.46109472174318844,0.1306848224359706,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
ridge_log_quadratic,JET,1762,0.28085664764617957,0.5136482901234838,0.0843957476655902,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_ridge_s0,JET,1762,0.1979097980970751,0.758500840773906,0.05720913257823337,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_ridge_s0p1,JET,1762,0.19889298949737058,0.7560954047132504,0.057670383239709945,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_ridge_s0p2,JET,1762,0.20013196650625467,0.7530471985458387,0.05820338331588329,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_ridge_s0p3,JET,1762,0.20162201373412436,0.7493562222716708,0.05879909005755648,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_ridge_s0p4,JET,1762,0.20335761231099658,0.7450224758907464,0.059452793225494134,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_ridge_s0p5,JET,1762,0.2053325356721118,0.740045959403066,0.0601437286515638,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_ridge_s0p6,JET,1762,0.20753995177876444,0.7344266728086293,0.060868515855514845,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_ridge_s0p8,JET,1762,0.2126225371783704,0.7212597892994871,0.06241885079688202,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_ridge_s1,JET,1762,0.21854256720450704,0.7055218253633201,0.06409932929345558,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_gbm_s0,JET,1762,0.1979097980970751,0.758500840773906,0.05720913257823337,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_gbm_s0p1,JET,1762,0.2003793269326198,0.7524363605844512,0.05808740735486226,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_gbm_s0p2,JET,1762,0.20324526906168094,0.7453041185682592,0.05907132776978118,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_gbm_s0p3,JET,1762,0.20649111938478393,0.7371041147253301,0.06014676496816022,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_gbm_s0p4,JET,1762,0.2100992708898528,0.7278363490556639,0.061315264283073524,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_gbm_s0p5,JET,1762,0.21405140300160394,0.7175008215592606,0.06256374626230941,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_gbm_s0p6,JET,1762,0.21832883657525184,0.70609753223612,0.06389717797363441,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_gbm_s0p8,JET,1762,0.22778492301186423,0.6800876681096277,0.06667687427932156,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
hybrid_gbm_s1,JET,1762,0.23832157779374782,0.6498067566761868,0.06951641800505956,True,2.189768389167002,0,0.48127128263337116,0.0,1.3108840862714626
ipb98y2_analytic,AUG,1377,0.1973676563878414,0.6567435503035044,0.014821823467575594,False,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
mean_baseline,AUG,1377,0.5014227191370254,-1.215515298386586,0.04064398252953401,True,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
ridge_loglinear,AUG,1377,0.21552600328195384,0.5906770563026931,0.016697092862935747,True,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
random_forest,AUG,1377,0.27930960871770744,0.3125541560448577,0.020491376539165572,True,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
hist_gradient_boosting,AUG,1377,0.2812302860575839,0.3030671827480822,0.02010304886970401,True,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
ridge_log_quadratic,AUG,1377,0.2008945064797325,0.6443663395403154,0.015426510738150793,True,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
hybrid_ridge_s0,AUG,1377,0.21552600328195384,0.5906770563026931,0.016697092862935747,True,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
hybrid_ridge_s0p1,AUG,1377,0.21446447699427462,0.5946991884206669,0.016615824537960375,True,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
hybrid_ridge_s0p2,AUG,1377,0.2134178769890399,0.5986453225864019,0.01653557462482866,True,1.2399939601552896,0,0.0,0.0,-1.4736930395047774
