arm,tokamak,model_name,n_held_out_rows,rmsle
equal_label_weights,JET,ridge_loglinear,1762,0.2127899729871416
equal_label_weights,JET,random_forest,1762,0.47204173327013377
equal_label_weights,JET,hist_gradient_boosting,1762,0.5157206869027021
equal_label_weights,AUG,ipb98y2_analytic,1377,0.1973676563878414
equal_label_weights,AUG,ridge_loglinear,1377,0.2168678329498827
equal_label_weights,AUG,random_forest,1377,0.30159032310725553
equal_label_weights,AUG,hist_gradient_boosting,1377,0.30408735223854183
equal_label_weights,JETILW,ipb98y2_analytic,866,0.256629652478898
equal_label_weights,JETILW,ridge_loglinear,866,0.25444405971785106
equal_label_weights,JETILW,random_forest,866,0.30583919663368014
equal_label_weights,JETILW,hist_gradient_boosting,866,0.2593261457312423
equal_label_weights,AUGW,ipb98y2_analytic,767,0.21832511500257962
equal_label_weights,AUGW,ridge_loglinear,767,0.28834962929562696
equal_label_weights,AUGW,random_forest,767,0.22181913872433504
equal_label_weights,AUGW,hist_gradient_boosting,767,0.2111690699113193
equal_label_weights,ASDEX,ipb98y2_analytic,431,0.13144904229087115
equal_label_weights,ASDEX,ridge_loglinear,431,0.1303517415743956
equal_label_weights,ASDEX,random_forest,431,0.4727755836495771
equal_label_weights,ASDEX,hist_gradient_boosting,431,0.22399820793799521
equal_label_weights,D3D,ipb98y2_analytic,388,0.25193607071646484
equal_label_weights,D3D,ridge_loglinear,388,0.29878606769985283
equal_label_weights,D3D,random_forest,388,0.38548448542116526
equal_label_weights,D3D,hist_gradient_boosting,388,0.30452873509087114
equal_label_weights,NSTX,ipb98y2_analytic,185,0.22222938608255652
equal_label_weights,NSTX,ridge_loglinear,185,0.19539647451267345
equal_label_weights,NSTX,random_forest,185,1.0047263293963524
equal_label_weights,NSTX,hist_gradient_boosting,185,0.6681087295376837
equal_label_weights,JT60U,ipb98y2_analytic,100,0.2748479842757165
equal_label_weights,JT60U,ridge_loglinear,100,0.252822824297884
equal_label_weights,JT60U,random_forest,100,0.2633983843703685
equal_label_weights,JT60U,hist_gradient_boosting,100,0.22707112736676804
equal_label_weights,PDX,ipb98y2_analytic,97,0.2270798419649088
equal_label_weights,PDX,ridge_loglinear,97,0.20932206608533385
equal_label_weights,PDX,random_forest,97,0.41592546013401455
equal_label_weights,PDX,hist_gradient_boosting,97,0.3270966607258616
equal_label_weights,JFT2M,ipb98y2_analytic,69,0.0945692941473851
equal_label_weights,JFT2M,ridge_loglinear,69,0.24940641392907456
equal_label_weights,JFT2M,random_forest,69,0.3236972449027844
equal_label_weights,JFT2M,hist_gradient_boosting,69,0.3967678134943826
equal_label_weights,PBXM,ipb98y2_analytic,59,0.17167843282810225
equal_label_weights,PBXM,ridge_loglinear,59,0.4151656488677766
equal_label_weights,PBXM,random_forest,59,0.5541417094802249
equal_label_weights,PBXM,hist_gradient_boosting,59,0.5278485065072684
equal_label_weights,CMOD,ipb98y2_analytic,45,0.1193554844659295
equal_label_weights,CMOD,ridge_loglinear,45,0.42139843698365104
equal_label_weights,CMOD,random_forest,45,0.6514899797539886
equal_label_weights,CMOD,hist_gradient_boosting,45,0.41342288821893325
equal_label_weights,MAST,ipb98y2_analytic,39,0.1364310264879828
equal_label_weights,MAST,ridge_loglinear,39,0.2176508419610476
equal_label_weights,MAST,random_forest,39,0.4383791048197369
equal_label_weights,MAST,hist_gradient_boosting,39,0.4441727545667316
