model_name,tokamak,n_held_out_rows,rmsle,r2_log,mae_s,is_blind,arm
mean_baseline,JET,2655,2.0137958682435433,-7.821698159482633,0.44653083723454634,True,disjoint_h
ridge_loglinear,JET,2655,0.2937457502693762,0.8122999071223074,0.12939092561773943,True,disjoint_h
random_forest,JET,2655,1.0871994566388015,-1.5712230719198077,0.3454025185411961,True,disjoint_h
hist_gradient_boosting,JET,2655,1.0076729684001564,-1.2088209863152723,0.33247562003922637,True,disjoint_h
powerlaw_collisionless,JET,2655,0.25604417809027447,0.8573896276726897,0.11284557101991506,True,disjoint_h
mean_baseline,AUG,974,1.0386249427737317,-7.2219024221193,0.11340977625468472,True,disjoint_h
ridge_loglinear,AUG,974,0.24239773092032285,0.5521713004421647,0.016262180514179853,True,disjoint_h
random_forest,AUG,974,0.36560055132221236,-0.018752074483723735,0.021638917152347836,True,disjoint_h
hist_gradient_boosting,AUG,974,0.25353700738097945,0.5100660422530419,0.01498846726289242,True,disjoint_h
powerlaw_collisionless,AUG,974,0.20274554461713576,0.6867021167291774,0.012760602886229568,True,disjoint_h
mean_baseline,JFT2M,461,1.897565725831496,-20.59584269761046,0.15404405738752827,True,disjoint_h
ridge_loglinear,JFT2M,461,0.1292451407949959,0.8998144818828118,0.00331933508204252,True,disjoint_h
random_forest,JFT2M,461,0.7300081718857354,-2.196185257890122,0.015433016515858343,True,disjoint_h
hist_gradient_boosting,JFT2M,461,0.6670320706210965,-1.6685167352648973,0.014835104073288391,True,disjoint_h
powerlaw_collisionless,JFT2M,461,0.1269037104336027,0.9034115623951586,0.0032478225873217056,True,disjoint_h
mean_baseline,JT60U,287,0.46549336640414635,-0.8323668272044469,0.05734889227733705,True,disjoint_h
ridge_loglinear,JT60U,287,0.38249093104971943,-0.23716524990338983,0.05541270018311292,True,disjoint_h
random_forest,JT60U,287,0.2965072308790251,0.25654274156090473,0.031856382615252,True,disjoint_h
hist_gradient_boosting,JT60U,287,0.34419207937652896,-0.0018141743892963191,0.041478930746374106,True,disjoint_h
powerlaw_collisionless,JT60U,287,0.34697574634717365,-0.018084124367989007,0.049342561445414664,True,disjoint_h
mean_baseline,D3D,233,0.43699549092527756,-0.023079921296205397,0.04862234918291763,True,disjoint_h
ridge_loglinear,D3D,233,0.27651679743367297,0.5903634625909051,0.030391927997087544,True,disjoint_h
random_forest,D3D,233,0.5833404127793013,-0.8230550332015272,0.09199403017803066,True,disjoint_h
hist_gradient_boosting,D3D,233,0.5610763234212827,-0.6865512190100156,0.08919741077600993,True,disjoint_h
powerlaw_collisionless,D3D,233,0.27430076979854867,0.5969028731554062,0.02992614274638068,True,disjoint_h
mean_baseline,PBXM,205,1.1220209574818418,-23.481760799487255,0.10875985243131764,True,disjoint_h
ridge_loglinear,PBXM,205,0.4842062245681983,-3.559334425413743,0.021044794097349998,True,disjoint_h
random_forest,PBXM,205,0.2419151580003014,-0.13806449692806466,0.010659786185604165,True,disjoint_h
hist_gradient_boosting,PBXM,205,0.20941095239155016,0.14721511059817938,0.008511375445994208,True,disjoint_h
powerlaw_collisionless,PBXM,205,0.44647157410374955,-2.876397809905709,0.019680485459490266,True,disjoint_h
mean_baseline,ASDEX,194,1.1161175538212598,-9.28052523993256,0.10417076631618152,True,disjoint_h
ridge_loglinear,ASDEX,194,0.41181477442589304,-0.3995849811375516,0.019721200006309024,True,disjoint_h
random_forest,ASDEX,194,0.4403642414948887,-0.6003667463599713,0.02296500667707167,True,disjoint_h
hist_gradient_boosting,ASDEX,194,0.36899949046394154,-0.12369114731997666,0.01696979714381458,True,disjoint_h
powerlaw_collisionless,ASDEX,194,0.4102753013769832,-0.3891404987422191,0.019713475427269353,True,disjoint_h
mean_baseline,TFTR,102,0.4343936007369272,-3.7955064739570874,0.04928631862173196,True,disjoint_h
