model_name,tokamak,n_held_out_rows,rmsle,variance_ratio,intraclass_correlation,n_training_groups
mixed_random_intercept,ASDEX,431,0.407838607305282,37.33384231930186,0.9739133898535268,15
mixed_random_intercept,AUG,2144,0.1881359917310764,1.9729915113595193,0.6636384610655313,15
mixed_random_intercept,CMOD,45,1.8201462228118548,54.601147437685235,0.9820147596572402,15
mixed_random_intercept,D3D,388,1.096918443344563,143.18839064285564,0.9930646288821066,15
mixed_random_intercept,JET,2628,0.8310296886303002,8.20037169522552,0.8913087391329043,15
mixed_random_intercept,JFT2M,69,0.1507613034370373,64.64044226142802,0.9847654896044535,15
mixed_random_intercept,JT60U,100,2.5266628428237117,49.43729817114046,0.9801734026948298,15
mixed_random_intercept,MAST,39,0.5193637946523493,69.54191030267613,0.985824030059446,15
mixed_random_intercept,NSTX,185,0.5794156902688129,112.87231702442425,0.9912182343687139,15
mixed_random_intercept,PBXM,59,0.5818143398982422,67.83788707441398,0.9854731160048682,15
mixed_random_intercept,PDX,97,0.41997318936293304,64.18404629838925,0.9846588228748127,15
