model_name,is_blind,cv_rmsle,lomo_mean_rmsle,lomo_median_rmsle,lomo_worst_rmsle,size_cut_rmsle,size_cut_skill
powerlaw_collisionless,True,0.1821659189976954,0.20557300361029174,0.20837592370210276,0.2791814830913803,0.18328117409529868,1.0087952908408926
ipb98y2_analytic,False,0.19934284163621757,0.1884434916313823,0.1973676563878414,0.2748479842757165,0.19440636965136043,1.0
hybrid_gbm_s1,True,0.1507974207511996,0.24606287712040656,0.2332703333213184,0.40145787944550493,0.20573501653465057,0.9910438658205863
powerlaw_electrostatic,True,0.22471838551427267,0.24108291547107566,0.2563006778988376,0.36699301108626453,0.23745494042614076,0.965966917314758
powerlaw_kadomtsev,True,0.1812212105621833,0.2104977109715702,0.2114861219653455,0.2892702834915873,0.2538666245120225,0.9529922658583594
ridge_loglinear,True,0.18123437655884575,0.21407599766914132,0.21552600328195384,0.28907712742060465,0.27782310857361403,0.9340528913740972
powerlaw_free,True,0.1812340909221804,0.2140645545338596,0.21563146324105797,0.2890486616024862,0.27898983803772165,0.9331305053434199
random_forest,True,0.1277352778940419,0.46489304181310953,0.4502539255431945,0.857376361499742,0.9377674151597658,0.4123180521106484
hist_gradient_boosting,True,0.12963313235633495,0.3592919101020166,0.30701737969020504,0.6857023422989421,1.0717519585509527,0.30639334981024013
mean_baseline,True,0.8685778027876655,0.9935763663195161,1.0079964906077226,1.628585559883982,1.459310027451591,0.0
