model_name,split,scope,n_rows,nominal_coverage,empirical_coverage,median_half_width_log,median_interval_factor,rmsle,is_blind,feature_mahalanobis
random_forest,grouped_cv,JFT2M,69,0.9,0.9420289855072463,0.21566423032835358,1.240685724416296,0.09083223025969532,True,5.434784443628557
random_forest,grouped_cv,JT60U,100,0.9,0.86,0.22850138646699802,1.2567152675249342,0.14336607089708334,True,2.483394451114324
random_forest,grouped_cv,MAST,39,0.9,0.9487179487179487,0.21566423032835358,1.240685724416296,0.11701827149377476,True,5.375921749336576
random_forest,grouped_cv,NSTX,185,0.9,0.8540540540540541,0.21566423032835358,1.240685724416296,0.15243475339393553,True,7.8308993076380045
random_forest,grouped_cv,PBXM,59,0.9,0.9322033898305084,0.21566423032835358,1.240685724416296,0.11721339996580567,True,10.18020691511417
random_forest,grouped_cv,PDX,97,0.9,0.7938144329896907,0.21566423032835358,1.240685724416296,0.17823476204980604,True,4.045943810544166
random_forest,grouped_cv,START,8,0.9,0.5,0.21566423032835358,1.240685724416296,0.39271437713724006,True,
random_forest,grouped_cv,TCV,11,0.9,0.36363636363636365,0.19765376999058848,1.2185404255138186,0.4072162932493972,True,
random_forest,grouped_cv,TDEV,7,0.9,0.5714285714285714,0.21566423032835358,1.240685724416296,0.20022338041949594,True,
random_forest,grouped_cv,TFTR,2,0.9,1.0,0.2234006350113189,1.2503213959324435,0.0600601733577251,True,
hist_gradient_boosting,grouped_cv,ASDEX,431,0.9,0.9280742459396751,0.2140118771575048,1.238637366197177,0.1298044505022456,True,5.187342932450245
hist_gradient_boosting,grouped_cv,AUG,1377,0.9,0.8859840232389252,0.2140118771575048,1.238637366197177,0.14292769546978765,True,1.2399939601552896
hist_gradient_boosting,grouped_cv,AUGW,767,0.9,0.9269882659713168,0.2140118771575048,1.238637366197177,0.11924166820718936,True,1.6457652294950753
hist_gradient_boosting,grouped_cv,CMOD,45,0.9,0.8888888888888888,0.2140118771575048,1.238637366197177,0.13190961624323813,True,6.937744525296737
hist_gradient_boosting,grouped_cv,COMPASS,15,0.9,0.6,0.2140118771575048,1.238637366197177,0.23647768569552044,True,
hist_gradient_boosting,grouped_cv,D3D,388,0.9,0.884020618556701,0.2140118771575048,1.238637366197177,0.1448672318579673,True,1.1410663145491857
hist_gradient_boosting,grouped_cv,JET,1762,0.9,0.9194097616345063,0.2140118771575048,1.238637366197177,0.12167439954035583,True,2.189768389167002
