n_features,features,n_species_scored,cv_powerlaw,cv_random_forest,cv_hist_gradient_boosting,cv_gain_over_powerlaw,loo_powerlaw,loo_random_forest,loo_hist_gradient_boosting,loo_gain_over_powerlaw,trees_win_interpolation,power_law_wins_extrapolation,reversal
1,log_diameter_m,33,0.5643159272041883,0.610429417062869,0.5739771249652388,-0.017120193308941767,0.5008614211017921,0.5870063450509908,0.5534778827977144,-0.10505193548382485,False,True,False
2,log_diameter_m + log_height_m,33,0.4746016709743927,0.5175782949116632,0.4773259192158338,-0.005740073008693836,0.41895647539210157,0.5174955684116738,0.4642252319656782,-0.10805121589589839,False,True,False
3,log_diameter_m + log_height_m + log_leaf_area_m2,33,0.4074229216130357,0.4016533244076218,0.4000950154108538,0.017985993947443824,0.3638437484340487,0.420718793859985,0.41163423434664237,-0.131348926890402,True,True,True
4,log_diameter_m + log_height_m + log_leaf_area_m2 + log_leaf_mass_kg,33,0.33723204031636633,0.31483311911887346,0.31429285034791565,0.06802197663938103,0.2648864393999988,0.300478294719734,0.30963172655714166,-0.13436646813764885,True,True,True
