variable,fitted,ci_low,ci_high,published_ipb98y2,published_inside_ci
log_coefficient,-2.9038356312016065,-2.9680782521136826,-2.838842368824785,,False
ip_ma,1.0804315034258738,1.0344360965869874,1.1297752182329877,0.93,False
bt_t,0.12016001694501567,0.07947496774754126,0.16307088715011295,0.15,True
ne_line_1e19_m3,0.2166326537331674,0.1902909083197698,0.24217692837181654,0.41,False
p_loss_mw,-0.688387425406081,-0.7068586241439225,-0.6718628773357297,-0.69,True
r_m,1.5791341035779596,1.5017218968263901,1.646965183625598,1.97,False
inverse_aspect_ratio,0.16673071620488358,0.05994286308238048,0.264001704327089,0.58,False
kappa,0.8975166175406656,0.833089806251068,0.9655121177422709,0.78,False
m_eff_amu,0.25641042610379533,0.22130148212546022,0.29001402998271364,0.19,False
