model_name,is_blind,cv_rmsle,lomo_mean_rmsle,size_cut_rmsle,degradation_factor,skill_against_baseline
ipb98y2_analytic,False,0.19934284163621757,0.18844349163138224,0.19440636965136043,0.9752362716195963,1.0
ridge_loglinear,True,0.18123437655884575,0.21407599766914132,0.27782310857361403,1.5329492883675215,0.9340528913740972
hist_gradient_boosting,True,0.12963313235633495,0.3592919101020166,1.0717519585509527,8.267577424611835,0.30639334981024013
random_forest,True,0.1277352778940419,0.46489304181310953,0.9377674151597658,7.341491173156222,0.4123180521106484
mean_baseline,True,0.8685778027876655,0.9935763663195162,1.459310027451591,1.6801143464269916,0.0
