feature,importance
triple_product,0.30861760770311303
lawson_ratio,0.29129873968865766
log_triple_product,0.2873778674007189
tau_E_ipb98_s,0.02148794525528383
Pin_MW,0.007863650783487311
Ip_MA,0.007631593847073285
fuel_purity,0.007499083842273128
pressure_Pa,0.006456361028448457
log_pressure_Pa,0.006307462046634695
purity_weighted_density,0.005762226399410471
a_m,0.005327966578228536
density_tau,0.005045791712927785
Bt_T,0.004630642971671824
M_amu,0.0045245231261568306
R_m,0.004334565295987008
log_energy_input_MJ,0.0039465029533096415
energy_input_MJ,0.0038853647254662323
kappa,0.00385756206292208
density_temp,0.003411828622133875
log_confinement_time_s,0.0018529905091245742
log_temperature_keV,0.0017556975779878079
confinement_time_s,0.0017378473851197146
temperature_keV,0.0017130323624884203
log_fuel_density_m3,0.001305311499115458
fuel_density_m3,0.0012712837877322599
ne_20,0.001096550834527299
